"country_name","genres","n"
"Argentina","Action",134
"Argentina","Adult",2
"Argentina","Adventure",102
"Argentina","Animation",59
"Argentina","Biography",11
"Argentina","Comedy",179
"Argentina","Crime",134
"Argentina","Documentary",20
"Argentina","Drama",370
"Argentina","Family",13
"Argentina","Fantasy",27
"Argentina","History",2
"Argentina","Horror",26
"Argentina","Music",38
"Argentina","Musical",1
"Argentina","Mystery",62
"Argentina","Romance",101
"Argentina","Sci-Fi",10
"Argentina","Short",2
"Argentina","Sport",8
"Argentina","Thriller",79
"Argentina","War",3
"Argentina","Western",1
"Australia","Action",182
"Australia","Adult",2
"Australia","Adventure",135
"Australia","Animation",52
"Australia","Biography",18
"Australia","Comedy",184
"Australia","Crime",136
"Australia","Documentary",42
"Australia","Drama",288
"Australia","Family",38
"Australia","Fantasy",51
"Australia","Game-Show",11
"Australia","History",5
"Australia","Horror",23
"Australia","Music",1
"Australia","Mystery",59
"Australia","Reality-TV",30
"Australia","Romance",79
"Australia","Sci-Fi",41
"Australia","Short",5
"Australia","Sport",13
"Australia","Thriller",60
"Australia","War",7
"Australia","Western",4
"Austria","Action",197
"Austria","Adult",2
"Austria","Adventure",130
"Austria","Animation",37
"Austria","Biography",18
"Austria","Comedy",186
"Austria","Crime",154
"Austria","Documentary",32
"Austria","Drama",314
"Austria","Family",41
"Austria","Fantasy",56
"Austria","Game-Show",9
"Austria","History",5
"Austria","Horror",32
"Austria","Music",5
"Austria","Mystery",58
"Austria","Reality-TV",13
"Austria","Romance",93
"Austria","Sci-Fi",20
"Austria","Short",4
"Austria","Sport",16
"Austria","Thriller",65
"Austria","War",4
"Bahamas","Action",174
"Bahamas","Adult",3
"Bahamas","Adventure",98
"Bahamas","Animation",78
"Bahamas","Biography",16
"Bahamas","Comedy",172
"Bahamas","Crime",136
"Bahamas","Documentary",20
"Bahamas","Drama",300
"Bahamas","Family",44
"Bahamas","Fantasy",33
"Bahamas","Game-Show",9
"Bahamas","Horror",30
"Bahamas","Music",2
"Bahamas","Mystery",50
"Bahamas","Reality-TV",14
"Bahamas","Romance",84
"Bahamas","Sci-Fi",19
"Bahamas","Short",2
"Bahamas","Sport",7
"Bahamas","Thriller",100
"Bahamas","War",2
"Bahrain","Action",195
"Bahrain","Adult",3
"Bahrain","Adventure",104
"Bahrain","Animation",40
"Bahrain","Biography",22
"Bahrain","Comedy",164
"Bahrain","Crime",136
"Bahrain","Documentary",25
"Bahrain","Drama",334
"Bahrain","Family",15
"Bahrain","Fantasy",40
"Bahrain","Game-Show",12
"Bahrain","History",2
"Bahrain","Horror",28
"Bahrain","Music",3
"Bahrain","Musical",1
"Bahrain","Mystery",54
"Bahrain","Reality-TV",17
"Bahrain","Romance",93
"Bahrain","Sci-Fi",19
"Bahrain","Short",4
"Bahrain","Sport",9
"Bahrain","Thriller",66
"Bahrain","War",2
"Bangladesh","Action",228
"Bangladesh","Adult",2
"Bangladesh","Adventure",83
"Bangladesh","Animation",37
"Bangladesh","Biography",7
"Bangladesh","Comedy",196
"Bangladesh","Crime",176
"Bangladesh","Documentary",18
"Bangladesh","Drama",373
"Bangladesh","Family",11
"Bangladesh","Fantasy",25
"Bangladesh","Game-Show",2
"Bangladesh","History",2
"Bangladesh","Horror",25
"Bangladesh","Music",1
"Bangladesh","Musical",5
"Bangladesh","Mystery",97
"Bangladesh","Reality-TV",2
"Bangladesh","Romance",89
"Bangladesh","Sci-Fi",31
"Bangladesh","Short",7
"Bangladesh","Sport",1
"Bangladesh","Thriller",67
"Bangladesh","War",2
"Belgium","Action",191
"Belgium","Adult",2
"Belgium","Adventure",128
"Belgium","Animation",56
"Belgium","Biography",17
"Belgium","Comedy",184
"Belgium","Crime",136
"Belgium","Documentary",33
"Belgium","Drama",319
"Belgium","Family",20
"Belgium","Fantasy",51
"Belgium","Game-Show",9
"Belgium","History",2
"Belgium","Horror",27
"Belgium","Music",10
"Belgium","Mystery",51
"Belgium","Reality-TV",13
"Belgium","Romance",94
"Belgium","Sci-Fi",26
"Belgium","Short",4
"Belgium","Sport",11
"Belgium","Thriller",53
"Belgium","War",4
"Bolivia","Action",159
"Bolivia","Adult",3
"Bolivia","Adventure",141
"Bolivia","Animation",99
"Bolivia","Biography",3
"Bolivia","Comedy",222
"Bolivia","Crime",94
"Bolivia","Documentary",11
"Bolivia","Drama",286
"Bolivia","Family",12
"Bolivia","Fantasy",24
"Bolivia","Horror",22
"Bolivia","Music",21
"Bolivia","Mystery",46
"Bolivia","Reality-TV",3
"Bolivia","Romance",106
"Bolivia","Sci-Fi",18
"Bolivia","Sport",5
"Bolivia","Thriller",49
"Bolivia","War",2
"Brazil","Action",154
"Brazil","Adult",4
"Brazil","Adventure",210
"Brazil","Animation",75
"Brazil","Biography",12
"Brazil","Comedy",203
"Brazil","Crime",113
"Brazil","Documentary",22
"Brazil","Drama",298
"Brazil","Family",70
"Brazil","Fantasy",27
"Brazil","Game-Show",4
"Brazil","Horror",22
"Brazil","Music",19
"Brazil","Musical",23
"Brazil","Mystery",51
"Brazil","Reality-TV",11
"Brazil","Romance",121
"Brazil","Sci-Fi",17
"Brazil","Short",2
"Brazil","Sport",5
"Brazil","Thriller",58
"Brazil","War",2
"Bulgaria","Action",216
"Bulgaria","Adult",3
"Bulgaria","Adventure",127
"Bulgaria","Animation",50
"Bulgaria","Biography",15
"Bulgaria","Comedy",183
"Bulgaria","Crime",124
"Bulgaria","Documentary",37
"Bulgaria","Drama",323
"Bulgaria","Family",19
"Bulgaria","Fantasy",42
"Bulgaria","Game-Show",14
"Bulgaria","History",2
"Bulgaria","Horror",24
"Bulgaria","Music",4
"Bulgaria","Mystery",45
"Bulgaria","Reality-TV",18
"Bulgaria","Romance",104
"Bulgaria","Sci-Fi",39
"Bulgaria","Short",4
"Bulgaria","Sport",11
"Bulgaria","Thriller",54
"Bulgaria","War",3
"Canada","Action",161
"Canada","Adult",3
"Canada","Adventure",104
"Canada","Animation",56
"Canada","Biography",20
"Canada","Comedy",174
"Canada","Crime",146
"Canada","Documentary",30
"Canada","Drama",284
"Canada","Family",11
"Canada","Fantasy",28
"Canada","Game-Show",16
"Canada","History",4
"Canada","Horror",30
"Canada","Music",7
"Canada","Mystery",67
"Canada","Reality-TV",33
"Canada","Romance",87
"Canada","Sci-Fi",27
"Canada","Short",4
"Canada","Sport",7
"Canada","Thriller",82
"Canada","War",5
"Canada","Western",2
"Chile","Action",132
"Chile","Adult",2
"Chile","Adventure",120
"Chile","Animation",77
"Chile","Biography",7
"Chile","Comedy",201
"Chile","Crime",109
"Chile","Documentary",16
"Chile","Drama",343
"Chile","Family",15
"Chile","Fantasy",22
"Chile","History",2
"Chile","Horror",21
"Chile","Music",37
"Chile","Musical",1
"Chile","Mystery",45
"Chile","Reality-TV",2
"Chile","Romance",123
"Chile","Sci-Fi",14
"Chile","Short",2
"Chile","Sport",6
"Chile","Thriller",55
"Chile","War",3
"Colombia","Action",143
"Colombia","Adult",2
"Colombia","Adventure",109
"Colombia","Animation",64
"Colombia","Biography",8
"Colombia","Comedy",198
"Colombia","Crime",115
"Colombia","Documentary",37
"Colombia","Drama",297
"Colombia","Family",14
"Colombia","Fantasy",26
"Colombia","Horror",22
"Colombia","Music",20
"Colombia","Musical",5
"Colombia","Mystery",49
"Colombia","Reality-TV",3
"Colombia","Romance",111
"Colombia","Sci-Fi",14
"Colombia","Short",2
"Colombia","Sport",5
"Colombia","Thriller",73
"Colombia","War",2
"Costa Rica","Action",123
"Costa Rica","Adult",2
"Costa Rica","Adventure",97
"Costa Rica","Animation",63
"Costa Rica","Biography",8
"Costa Rica","Comedy",204
"Costa Rica","Crime",104
"Costa Rica","Documentary",20
"Costa Rica","Drama",328
"Costa Rica","Family",16
"Costa Rica","Fantasy",21
"Costa Rica","Game-Show",1
"Costa Rica","Horror",24
"Costa Rica","Music",35
"Costa Rica","Musical",1
"Costa Rica","Mystery",44
"Costa Rica","Reality-TV",4
"Costa Rica","Romance",135
"Costa Rica","Sci-Fi",14
"Costa Rica","Short",2
"Costa Rica","Sport",7
