"id","n","label","parent"
"total",117656,NA,NA
"total",47,"total","total"
"total  -  Action",17390,"Action","total"
"total  -  Adventure",10547,"Adventure","total"
"total  -  Animation",4499,"Animation","total"
"total  -  Comedy",17122,"Comedy","total"
"total  -  Crime",12592,"Crime","total"
"total  -  Documentary",507,"Documentary","total"
"total  -  Drama",30736,"Drama","total"
"total  -  Family",266,"Family","total"
"total  -  Fantasy",2327,"Fantasy","total"
"total  -  Horror",149,"Horror","total"
"total  -  Music",418,"Music","total"
"total  -  Mystery",5006,"Mystery","total"
"total  -  Reality TV",33,"Reality TV","total"
"total  -  Romance",9162,"Romance","total"
"total  -  Sci Fi",775,"Sci Fi","total"
"total  -  Short",84,"Short","total"
"total  -  Thriller",5996,"Thriller","total"
"total  -  Western",47,"Western","total"
"total  -  Action  -  Argentina",134,"Argentina","total  -  Action"
"total  -  Adventure  -  Argentina",102,"Argentina","total  -  Adventure"
"total  -  Animation  -  Argentina",59,"Argentina","total  -  Animation"
"total  -  Comedy  -  Argentina",179,"Argentina","total  -  Comedy"
"total  -  Crime  -  Argentina",134,"Argentina","total  -  Crime"
"total  -  Drama  -  Argentina",370,"Argentina","total  -  Drama"
"total  -  Music  -  Argentina",38,"Argentina","total  -  Music"
"total  -  Mystery  -  Argentina",62,"Argentina","total  -  Mystery"
"total  -  Romance  -  Argentina",101,"Argentina","total  -  Romance"
"total  -  Thriller  -  Argentina",79,"Argentina","total  -  Thriller"
"total  -  Action  -  Australia",182,"Australia","total  -  Action"
"total  -  Adventure  -  Australia",135,"Australia","total  -  Adventure"
"total  -  Animation  -  Australia",52,"Australia","total  -  Animation"
"total  -  Comedy  -  Australia",184,"Australia","total  -  Comedy"
"total  -  Crime  -  Australia",136,"Australia","total  -  Crime"
"total  -  Drama  -  Australia",288,"Australia","total  -  Drama"
"total  -  Fantasy  -  Australia",51,"Australia","total  -  Fantasy"
"total  -  Mystery  -  Australia",59,"Australia","total  -  Mystery"
"total  -  Romance  -  Australia",79,"Australia","total  -  Romance"
"total  -  Thriller  -  Australia",60,"Australia","total  -  Thriller"
"total  -  Action  -  Austria",197,"Austria","total  -  Action"
"total  -  Adventure  -  Austria",130,"Austria","total  -  Adventure"
"total  -  Comedy  -  Austria",186,"Austria","total  -  Comedy"
"total  -  Crime  -  Austria",154,"Austria","total  -  Crime"
"total  -  Drama  -  Austria",314,"Austria","total  -  Drama"
"total  -  Family  -  Austria",41,"Austria","total  -  Family"
"total  -  Fantasy  -  Austria",56,"Austria","total  -  Fantasy"
"total  -  Mystery  -  Austria",58,"Austria","total  -  Mystery"
"total  -  Romance  -  Austria",93,"Austria","total  -  Romance"
"total  -  Thriller  -  Austria",65,"Austria","total  -  Thriller"
"total  -  Action  -  Bahamas",174,"Bahamas","total  -  Action"
"total  -  Adventure  -  Bahamas",98,"Bahamas","total  -  Adventure"
"total  -  Animation  -  Bahamas",78,"Bahamas","total  -  Animation"
"total  -  Comedy  -  Bahamas",172,"Bahamas","total  -  Comedy"
"total  -  Crime  -  Bahamas",136,"Bahamas","total  -  Crime"
"total  -  Drama  -  Bahamas",300,"Bahamas","total  -  Drama"
"total  -  Family  -  Bahamas",44,"Bahamas","total  -  Family"
"total  -  Mystery  -  Bahamas",50,"Bahamas","total  -  Mystery"
"total  -  Romance  -  Bahamas",84,"Bahamas","total  -  Romance"
"total  -  Thriller  -  Bahamas",100,"Bahamas","total  -  Thriller"
"total  -  Action  -  Bahrain",195,"Bahrain","total  -  Action"
"total  -  Adventure  -  Bahrain",104,"Bahrain","total  -  Adventure"
"total  -  Animation  -  Bahrain",40,"Bahrain","total  -  Animation"
"total  -  Comedy  -  Bahrain",164,"Bahrain","total  -  Comedy"
"total  -  Crime  -  Bahrain",136,"Bahrain","total  -  Crime"
"total  -  Drama  -  Bahrain",334,"Bahrain","total  -  Drama"
"total  -  Fantasy  -  Bahrain",40,"Bahrain","total  -  Fantasy"
"total  -  Mystery  -  Bahrain",54,"Bahrain","total  -  Mystery"
"total  -  Romance  -  Bahrain",93,"Bahrain","total  -  Romance"
"total  -  Thriller  -  Bahrain",66,"Bahrain","total  -  Thriller"
"total  -  Action  -  Bangladesh",228,"Bangladesh","total  -  Action"
"total  -  Adventure  -  Bangladesh",83,"Bangladesh","total  -  Adventure"
"total  -  Animation  -  Bangladesh",37,"Bangladesh","total  -  Animation"
"total  -  Comedy  -  Bangladesh",196,"Bangladesh","total  -  Comedy"
