"label","n","parent","id"
"Action",17390,NA,"Action"
"Adult",236,NA,"Adult"
"Adventure",10547,NA,"Adventure"
"Animation",4939,NA,"Animation"
"Biography",1231,NA,"Biography"
"Comedy",17122,NA,"Comedy"
"Crime",12592,NA,"Crime"
"Documentary",2418,NA,"Documentary"
"Drama",30736,NA,"Drama"
"Family",1880,NA,"Family"
"Fantasy",3389,NA,"Fantasy"
"Film Noir",4,NA,"Film Noir"
"Game Show",669,NA,"Game Show"
"History",287,NA,"History"
"Horror",2382,NA,"Horror"
"Music",1121,NA,"Music"
"Musical",114,NA,"Musical"
"Mystery",5006,NA,"Mystery"
"News",1,NA,"News"
"Reality TV",1099,NA,"Reality TV"
"Romance",9162,NA,"Romance"
"Sci Fi",2405,NA,"Sci Fi"
"Short",400,NA,"Short"
"Sport",780,NA,"Sport"
"Talk Show",4,NA,"Talk Show"
"Thriller",5996,NA,"Thriller"
"War",328,NA,"War"
"Western",47,NA,"Western"
"Argentina",134,"Action","Action  -  Argentina"
"Argentina",2,"Adult","Adult  -  Argentina"
"Argentina",102,"Adventure","Adventure  -  Argentina"
"Argentina",59,"Animation","Animation  -  Argentina"
"Argentina",11,"Biography","Biography  -  Argentina"
"Argentina",179,"Comedy","Comedy  -  Argentina"
"Argentina",134,"Crime","Crime  -  Argentina"
"Argentina",20,"Documentary","Documentary  -  Argentina"
"Argentina",370,"Drama","Drama  -  Argentina"
"Argentina",13,"Family","Family  -  Argentina"
"Argentina",27,"Fantasy","Fantasy  -  Argentina"
"Argentina",2,"History","History  -  Argentina"
"Argentina",26,"Horror","Horror  -  Argentina"
"Argentina",38,"Music","Music  -  Argentina"
"Argentina",1,"Musical","Musical  -  Argentina"
"Argentina",62,"Mystery","Mystery  -  Argentina"
"Argentina",101,"Romance","Romance  -  Argentina"
"Argentina",10,"Sci Fi","Sci Fi  -  Argentina"
"Argentina",2,"Short","Short  -  Argentina"
"Argentina",8,"Sport","Sport  -  Argentina"
"Argentina",79,"Thriller","Thriller  -  Argentina"
"Argentina",3,"War","War  -  Argentina"
"Argentina",1,"Western","Western  -  Argentina"
"Australia",182,"Action","Action  -  Australia"
"Australia",2,"Adult","Adult  -  Australia"
"Australia",135,"Adventure","Adventure  -  Australia"
"Australia",52,"Animation","Animation  -  Australia"
"Australia",18,"Biography","Biography  -  Australia"
"Australia",184,"Comedy","Comedy  -  Australia"
"Australia",136,"Crime","Crime  -  Australia"
"Australia",42,"Documentary","Documentary  -  Australia"
"Australia",288,"Drama","Drama  -  Australia"
"Australia",38,"Family","Family  -  Australia"
"Australia",51,"Fantasy","Fantasy  -  Australia"
"Australia",11,"Game Show","Game Show  -  Australia"
"Australia",5,"History","History  -  Australia"
"Australia",23,"Horror","Horror  -  Australia"
"Australia",1,"Music","Music  -  Australia"
"Australia",59,"Mystery","Mystery  -  Australia"
"Australia",30,"Reality TV","Reality TV  -  Australia"
"Australia",79,"Romance","Romance  -  Australia"
"Australia",41,"Sci Fi","Sci Fi  -  Australia"
"Australia",5,"Short","Short  -  Australia"
"Australia",13,"Sport","Sport  -  Australia"
"Australia",60,"Thriller","Thriller  -  Australia"
"Australia",7,"War","War  -  Australia"
"Australia",4,"Western","Western  -  Australia"
"Austria",197,"Action","Action  -  Austria"
"Austria",2,"Adult","Adult  -  Austria"
"Austria",130,"Adventure","Adventure  -  Austria"
"Austria",37,"Animation","Animation  -  Austria"
"Austria",18,"Biography","Biography  -  Austria"
"Austria",186,"Comedy","Comedy  -  Austria"
"Austria",154,"Crime","Crime  -  Austria"
"Austria",32,"Documentary","Documentary  -  Austria"
"Austria",314,"Drama","Drama  -  Austria"
"Austria",41,"Family","Family  -  Austria"
"Austria",56,"Fantasy","Fantasy  -  Austria"
"Austria",9,"Game Show","Game Show  -  Austria"
"Austria",5,"History","History  -  Austria"
"Austria",32,"Horror","Horror  -  Austria"
"Austria",5,"Music","Music  -  Austria"
"Austria",58,"Mystery","Mystery  -  Austria"
"Austria",13,"Reality TV","Reality TV  -  Austria"
"Austria",93,"Romance","Romance  -  Austria"
"Austria",20,"Sci Fi","Sci Fi  -  Austria"
"Austria",4,"Short","Short  -  Austria"
"Austria",16,"Sport","Sport  -  Austria"
"Austria",65,"Thriller","Thriller  -  Austria"
"Austria",4,"War","War  -  Austria"
"Bahamas",174,"Action","Action  -  Bahamas"
"Bahamas",3,"Adult","Adult  -  Bahamas"
"Bahamas",98,"Adventure","Adventure  -  Bahamas"
"Bahamas",78,"Animation","Animation  -  Bahamas"
"Bahamas",16,"Biography","Biography  -  Bahamas"
"Bahamas",172,"Comedy","Comedy  -  Bahamas"
"Bahamas",136,"Crime","Crime  -  Bahamas"
"Bahamas",20,"Documentary","Documentary  -  Bahamas"
"Bahamas",300,"Drama","Drama  -  Bahamas"
"Bahamas",44,"Family","Family  -  Bahamas"
"Bahamas",33,"Fantasy","Fantasy  -  Bahamas"
"Bahamas",9,"Game Show","Game Show  -  Bahamas"
"Bahamas",30,"Horror","Horror  -  Bahamas"
"Bahamas",2,"Music","Music  -  Bahamas"
"Bahamas",50,"Mystery","Mystery  -  Bahamas"
"Bahamas",14,"Reality TV","Reality TV  -  Bahamas"
"Bahamas",84,"Romance","Romance  -  Bahamas"
"Bahamas",19,"Sci Fi","Sci Fi  -  Bahamas"
"Bahamas",2,"Short","Short  -  Bahamas"
"Bahamas",7,"Sport","Sport  -  Bahamas"
"Bahamas",100,"Thriller","Thriller  -  Bahamas"
"Bahamas",2,"War","War  -  Bahamas"
"Bahrain",195,"Action","Action  -  Bahrain"
"Bahrain",3,"Adult","Adult  -  Bahrain"
"Bahrain",104,"Adventure","Adventure  -  Bahrain"
"Bahrain",40,"Animation","Animation  -  Bahrain"
"Bahrain",22,"Biography","Biography  -  Bahrain"
"Bahrain",164,"Comedy","Comedy  -  Bahrain"
"Bahrain",136,"Crime","Crime  -  Bahrain"
"Bahrain",25,"Documentary","Documentary  -  Bahrain"
