"parents","n","labels","id"
"Argentina",134,"Action","Argentina  -  Action"
"Argentina",2,"Adult","Argentina  -  Adult"
"Argentina",102,"Adventure","Argentina  -  Adventure"
"Argentina",59,"Animation","Argentina  -  Animation"
"Argentina",11,"Biography","Argentina  -  Biography"
"Argentina",179,"Comedy","Argentina  -  Comedy"
"Argentina",134,"Crime","Argentina  -  Crime"
"Argentina",20,"Documentary","Argentina  -  Documentary"
"Argentina",370,"Drama","Argentina  -  Drama"
"Argentina",13,"Family","Argentina  -  Family"
"Argentina",27,"Fantasy","Argentina  -  Fantasy"
"Argentina",2,"History","Argentina  -  History"
"Argentina",26,"Horror","Argentina  -  Horror"
"Argentina",38,"Music","Argentina  -  Music"
"Argentina",1,"Musical","Argentina  -  Musical"
"Argentina",62,"Mystery","Argentina  -  Mystery"
"Argentina",101,"Romance","Argentina  -  Romance"
"Argentina",10,"Sci Fi","Argentina  -  Sci Fi"
"Argentina",2,"Short","Argentina  -  Short"
"Argentina",8,"Sport","Argentina  -  Sport"
"Argentina",79,"Thriller","Argentina  -  Thriller"
"Argentina",3,"War","Argentina  -  War"
"Argentina",1,"Western","Argentina  -  Western"
"Australia",182,"Action","Australia  -  Action"
"Australia",2,"Adult","Australia  -  Adult"
"Australia",135,"Adventure","Australia  -  Adventure"
"Australia",52,"Animation","Australia  -  Animation"
"Australia",18,"Biography","Australia  -  Biography"
"Australia",184,"Comedy","Australia  -  Comedy"
"Australia",136,"Crime","Australia  -  Crime"
"Australia",42,"Documentary","Australia  -  Documentary"
"Australia",288,"Drama","Australia  -  Drama"
"Australia",38,"Family","Australia  -  Family"
"Australia",51,"Fantasy","Australia  -  Fantasy"
"Australia",11,"Game Show","Australia  -  Game Show"
"Australia",5,"History","Australia  -  History"
"Australia",23,"Horror","Australia  -  Horror"
"Australia",1,"Music","Australia  -  Music"
"Australia",59,"Mystery","Australia  -  Mystery"
"Australia",30,"Reality TV","Australia  -  Reality TV"
"Australia",79,"Romance","Australia  -  Romance"
"Australia",41,"Sci Fi","Australia  -  Sci Fi"
"Australia",5,"Short","Australia  -  Short"
"Australia",13,"Sport","Australia  -  Sport"
"Australia",60,"Thriller","Australia  -  Thriller"
"Australia",7,"War","Australia  -  War"
"Australia",4,"Western","Australia  -  Western"
"Austria",197,"Action","Austria  -  Action"
"Austria",2,"Adult","Austria  -  Adult"
"Austria",130,"Adventure","Austria  -  Adventure"
"Austria",37,"Animation","Austria  -  Animation"
"Austria",18,"Biography","Austria  -  Biography"
"Austria",186,"Comedy","Austria  -  Comedy"
"Austria",154,"Crime","Austria  -  Crime"
"Austria",32,"Documentary","Austria  -  Documentary"
"Austria",314,"Drama","Austria  -  Drama"
"Austria",41,"Family","Austria  -  Family"
"Austria",56,"Fantasy","Austria  -  Fantasy"
"Austria",9,"Game Show","Austria  -  Game Show"
"Austria",5,"History","Austria  -  History"
"Austria",32,"Horror","Austria  -  Horror"
"Austria",5,"Music","Austria  -  Music"
"Austria",58,"Mystery","Austria  -  Mystery"
"Austria",13,"Reality TV","Austria  -  Reality TV"
"Austria",93,"Romance","Austria  -  Romance"
"Austria",20,"Sci Fi","Austria  -  Sci Fi"
"Austria",4,"Short","Austria  -  Short"
"Austria",16,"Sport","Austria  -  Sport"
"Austria",65,"Thriller","Austria  -  Thriller"
"Austria",4,"War","Austria  -  War"
"Bahamas",174,"Action","Bahamas  -  Action"
"Bahamas",3,"Adult","Bahamas  -  Adult"
"Bahamas",98,"Adventure","Bahamas  -  Adventure"
"Bahamas",78,"Animation","Bahamas  -  Animation"
"Bahamas",16,"Biography","Bahamas  -  Biography"
"Bahamas",172,"Comedy","Bahamas  -  Comedy"
"Bahamas",136,"Crime","Bahamas  -  Crime"
"Bahamas",20,"Documentary","Bahamas  -  Documentary"
"Bahamas",300,"Drama","Bahamas  -  Drama"
"Bahamas",44,"Family","Bahamas  -  Family"
"Bahamas",33,"Fantasy","Bahamas  -  Fantasy"
"Bahamas",9,"Game Show","Bahamas  -  Game Show"
"Bahamas",30,"Horror","Bahamas  -  Horror"
"Bahamas",2,"Music","Bahamas  -  Music"
"Bahamas",50,"Mystery","Bahamas  -  Mystery"
"Bahamas",14,"Reality TV","Bahamas  -  Reality TV"
"Bahamas",84,"Romance","Bahamas  -  Romance"
"Bahamas",19,"Sci Fi","Bahamas  -  Sci Fi"
"Bahamas",2,"Short","Bahamas  -  Short"
